property_id,id,full_address,street_address,unit,city,state,zip_code,county,latitude,longitude,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,building_age,last_sale_price,last_sale_date,days_since_sale,price_per_sqft,assessed_value,tax_year,annual_tax,owner_name,owner_occupied,assessor_id,median_price_per_sqft_group,assessment_flag
P-100001,10001,"1924 Oak Ave, Honolulu, HI 46048",1924 Oak Ave,,Honolulu,HI,46048,Honolulu,27.489634,-144.8602,Single Family,6,5.0,1312,10986,1974,50,546937.17,2025-03-26,384,416.87,473424.11,2024,7207.52,Emily Gonzalez,False,HI-HO-81426,465.83,Under-assessed
P-100002,10002,"3711 Harbor View Blvd, Pittsburgh, PA 87236",3711 Harbor View Blvd,,Pittsburgh,PA,87236,Allegheny,28.372054,-81.370872,Single Family,6,4.0,3387,7939,1939,85,287944.73,2017-09-20,3128,85.01,259431.97,2022,3258.24,Matthew Thompson,False,PA-AL-15695,120.29,Under-assessed
P-100003,10003,"8885 Park Way, Apt 21C, Kansas City, MO 59615",8885 Park Way,Apt 21C,Kansas City,MO,59615,Jackson,23.088205,-131.49349,Townhouse,7,3.5,5329,8479,2010,14,174253.02,2018-11-13,2709,32.7,151316.0,2023,2999.49,Joseph Miller,True,MO-JA-69429,225.08,Under-assessed
P-100004,10004,"6165 Hillcrest Ave, Bronx, NY 37460",6165 Hillcrest Ave,,Bronx,NY,37460,Bronx,38.759642,-95.941633,Single Family,5,2.0,4975,16921,1951,73,948377.61,2022-01-10,1555,190.63,835505.83,2024,18381.13,Joseph Baker,True,NY-BR-17331,408.84,Under-assessed
P-100005,10005,"625 Ridgewood Rd, Apt 14E, Tucson, AZ 62581",625 Ridgewood Rd,Apt 14E,Tucson,AZ,62581,Pima,28.095133,-138.644493,Townhouse,6,3.5,2341,13079,1983,41,428592.88,2019-01-27,2634,183.08,401872.5,2023,3888.34,Deborah Scott,True,AZ-PI-86622,81.85,Within band
P-100006,10006,"6030 Madison Ave, Grand Rapids, MI 28131",6030 Madison Ave,,Grand Rapids,MI,28131,Kent,34.502447,-149.090881,Single Family,7,1.5,1852,12132,1940,84,737821.9,2021-07-19,1730,398.39,722270.61,2023,9085.75,Ashley King,True,MI-KE-82512,152.83,Within band
P-100007,10007,"1976 Jackson Dr, Houston, TX 94012",1976 Jackson Dr,,Houston,TX,94012,Harris,30.01465,-131.465489,Single Family,4,1.0,6495,10810,1984,40,714330.52,2020-08-03,2080,109.98,767039.79,2024,15340.8,Kevin Allen,False,TX-HA-30032,115.36,Within band
P-100008,10008,"2746 Main St, Apt 22D, Cleveland, OH 88504",2746 Main St,Apt 22D,Cleveland,OH,88504,Cuyahoga,29.590136,-155.305523,Townhouse,7,3.0,2561,3510,1950,74,804847.49,2025-05-26,323,314.27,664559.38,2023,11824.03,Ronald Wright,False,OH-CU-26828,148.98,Under-assessed
P-100009,10009,"2805 Adams St, Apt 19E, Indianapolis, IN 79163",2805 Adams St,Apt 19E,Indianapolis,IN,79163,Marion,44.119476,-120.186999,Condo,5,2.5,6440,11547,1971,53,896216.5,2018-12-30,2662,139.16,817372.88,2024,10967.37,Sarah Anderson,True,IN-MA-12757,141.22,Within band
P-100010,10010,"9741 Madison Ave, Apt 26D, Tucson, AZ 10942",9741 Madison Ave,Apt 26D,Tucson,AZ,10942,Pima,22.881317,-102.094043,Condo,1,1.0,3306,4466,1985,39,305643.61,2018-10-12,2741,92.45,289024.04,2024,2771.09,Kenneth Torres,True,AZ-PI-71993,150.88,Within band
P-100011,10011,"1645 River Blvd, Lawrenceville, GA 96374",1645 River Blvd,,Lawrenceville,GA,96374,Gwinnett,32.422856,-120.14866,Single Family,7,1.0,6116,16822,2002,22,196765.94,2021-10-07,1650,32.17,200399.04,2022,2201.16,Richard Wright,True,GA-GW-65296,150.1,Within band
P-100012,10012,"4663 Lakeshore Dr, Apt 6D, Decatur, GA 42742",4663 Lakeshore Dr,Apt 6D,Decatur,GA,42742,DeKalb,44.173878,-150.441515,Condo,1,1.0,5942,14798,1921,103,875817.08,2017-10-31,3087,147.39,923644.33,2022,11893.74,Steven Wilson,False,GA-DE-17685,139.77,Within band
P-100013,10013,"6496 Adams St, Apt 17E, Austin, TX 69638",6496 Adams St,Apt 17E,Austin,TX,69638,Travis,28.559105,-96.396539,Condo,6,4.5,1868,4979,1957,67,289806.7,2025-08-17,240,155.14,282200.46,2024,5644.01,Daniel Brown,True,TX-TR-72493,158.16,Within band
P-100014,10014,"1031 Birch St, Bronx, NY 20500",1031 Birch St,,Bronx,NY,20500,Bronx,43.560577,-151.038644,Single Family,6,2.5,3907,5871,1992,32,1200956.81,2019-08-13,2436,307.39,975083.85,2022,21451.84,Donna Torres,True,NY-BR-44179,408.84,Under-assessed
P-100015,10015,"5247 Monroe Blvd, Apt 29A, Naperville, IL 44814",5247 Monroe Blvd,Apt 29A,Naperville,IL,44814,DuPage,31.488325,-98.562951,Condo,4,3.5,1194,1346,1978,46,604504.22,2019-12-20,2307,506.28,664246.73,2022,13949.18,Paul Taylor,True,IL-DU-55745,148.0,Within band
P-100016,10016,"6154 Heritage Ln, Apt 10E, Charlotte, NC 30676",6154 Heritage Ln,Apt 10E,Charlotte,NC,30676,Mecklenburg,32.611891,-109.740037,Condo,5,5.0,664,11606,1990,34,353515.43,2018-11-04,2718,532.4,293798.17,2022,3282.78,Michael Mitchell,True,NC-ME-45697,140.0,Under-assessed
P-100017,10017,"5717 Jefferson St, Apt 23D, Naperville, IL 93130",5717 Jefferson St,Apt 23D,Naperville,IL,93130,DuPage,43.60219,-113.029412,Condo,7,1.0,1356,11748,1974,50,766891.51,2025-10-15,181,565.55,614328.96,2022,12900.91,Thomas Hernandez,False,IL-DU-82309,148.0,Under-assessed
P-100018,10018,"258 Park Way, Fort Wayne, IN 19862",258 Park Way,,Fort Wayne,IN,19862,Allen,46.04385,-96.881293,Single Family,5,1.0,3624,13167,1990,34,235513.15,2024-11-07,523,64.99,191365.89,2023,3595.34,Robert Thompson,True,IN-AL-42706,248.46,Under-assessed
P-100019,10019,"5894 Willow Way, Apt 13A, Fort Lauderdale, FL 91351",5894 Willow Way,Apt 13A,Fort Lauderdale,FL,91351,Broward,40.861157,-76.458547,Condo,7,2.0,2050,8805,1923,101,259901.32,2022-07-23,1361,126.78,268924.04,2023,4740.28,Deborah Thomas,True,FL-BR-24168,145.87,Within band
P-100020,10020,"3744 Lincoln Rd, Apt 11A, Rockville, MD 70332",3744 Lincoln Rd,Apt 11A,Rockville,MD,70332,Montgomery,30.265948,-85.613335,Condo,2,1.0,6006,9170,1971,53,693914.34,2016-08-03,3541,115.54,569583.09,2023,6956.75,Paul Sanchez,False,MD-MO-80282,253.54,Under-assessed
P-100021,10021,"4379 Washington Ave, Orlando, FL 86099",4379 Washington Ave,,Orlando,FL,86099,Orange,46.507159,-133.904426,Single Family,5,4.0,3431,15367,2020,4,364668.31,2019-06-26,2484,106.29,399410.54,2022,5041.5,Kenneth Gonzalez,True,FL-OR-67154,138.34,Within band
P-100022,10022,"8618 Lincoln Rd, Apt 14D, Austin, TX 57739",8618 Lincoln Rd,Apt 14D,Austin,TX,57739,Travis,32.429381,-74.44792,Townhouse,5,3.5,6034,8075,2012,12,822036.53,2020-08-05,2078,136.23,733902.21,2023,14678.04,George Jackson,True,TX-TR-35144,143.56,Under-assessed
P-100023,10023,"9424 Clearwater Ct, Apt 17E, Atlanta, GA 63225",9424 Clearwater Ct,Apt 17E,Atlanta,GA,63225,Fulton,35.520336,-156.964683,Condo,2,4.0,5351,15290,2003,21,371354.4,2021-04-30,1810,69.4,346342.92,2022,4895.24,Deborah Hernandez,False,GA-FU-47196,139.77,Within band
P-100024,10024,"1630 Monroe Blvd, Reno, NV 98184",1630 Monroe Blvd,,Reno,NV,98184,Washoe,29.226116,-86.829028,Single Family,1,1.0,2605,10389,1998,26,782795.4,2025-06-19,299,300.5,733185.62,2024,10930.37,Melissa Hall,True,NV-WA-62383,117.32,Within band
P-100025,10025,"2517 Main St, Apt 20E, Charlotte, NC 23970",2517 Main St,Apt 20E,Charlotte,NC,23970,Mecklenburg,41.628141,-137.960821,Condo,4,1.0,5166,9248,1935,89,476040.22,2017-04-18,3283,92.15,447188.84,2024,8878.8,Joshua Lee,False,NC-ME-68008,140.0,Within band
