"﻿property_id";"id";"full_address";"street_address";"unit";"city";"state";"zip_code";"county";"latitude";"longitude";"property_type";"bedrooms";"bathrooms";"sqft";"lot_size_sqft";"year_built";"building_age";"last_sale_price";"last_sale_date";"days_since_sale";"price_per_sqft";"assessed_value";"tax_year";"annual_tax";"owner_name";"owner_occupied";"assessor_id"
"P-100001";10001;"1924 Oak Ave, Honolulu, HI 46048";"1924 Oak Ave";"";"Honolulu";"HI";46048;"Honolulu";27.489634;-144.8602;"Single Family";6;5.0;"1,312";"10,986";1974;50;"546,937.17";"2025-03-26";"384";416.87;"473,424.11";2024;"7,207.52";"Emily Gonzalez";"FALSE";"HI-HO-81426"
"P-100002";10002;"3711 Harbor View Blvd, Pittsburgh, PA 87236";"3711 Harbor View Blvd";"";"Pittsburgh";"PA";87236;"Allegheny";28.372054;-81.370872;"Single Family";6;4.0;"3,387";"7,939";1939;85;"287,944.73";"2017-09-20";"3,128";85.01;"259,431.97";2022;"3,258.24";"Matthew Thompson";"FALSE";"PA-AL-15695"
"P-100003";10003;"8885 Park Way, Apt 21C, Kansas City, MO 59615";"8885 Park Way";"Apt 21C";"Kansas City";"MO";59615;"Jackson";23.088205;-131.49349;"Townhouse";7;3.5;"5,329";"8,479";2010;14;"174,253.02";"2018-11-13";"2,709";32.7;"151,316.00";2023;"2,999.49";"Joseph Miller";"TRUE";"MO-JA-69429"
"P-100004";10004;"6165 Hillcrest Ave, Bronx, NY 37460";"6165 Hillcrest Ave";"";"Bronx";"NY";37460;"Bronx";38.759642;-95.941633;"Single Family";5;2.0;"4,975";"16,921";1951;73;"948,377.61";"2022-01-10";"1,555";190.63;"835,505.83";2024;"18,381.13";"Joseph Baker";"TRUE";"NY-BR-17331"
"P-100005";10005;"625 Ridgewood Rd, Apt 14E, Tucson, AZ 62581";"625 Ridgewood Rd";"Apt 14E";"Tucson";"AZ";62581;"Pima";28.095133;-138.644493;"Townhouse";6;3.5;"2,341";"13,079";1983;41;"428,592.88";"2019-01-27";"2,634";183.08;"401,872.50";2023;"3,888.34";"Deborah Scott";"TRUE";"AZ-PI-86622"
"P-100006";10006;"6030 Madison Ave, Grand Rapids, MI 28131";"6030 Madison Ave";"";"Grand Rapids";"MI";28131;"Kent";34.502447;-149.090881;"Single Family";7;1.5;"1,852";"12,132";1940;84;"737,821.90";"2021-07-19";"1,730";398.39;"722,270.61";2023;"9,085.75";"Ashley King";"TRUE";"MI-KE-82512"
"P-100007";10007;"1976 Jackson Dr, Houston, TX 94012";"1976 Jackson Dr";"";"Houston";"TX";94012;"Harris";30.01465;-131.465489;"Single Family";4;1.0;"6,495";"10,810";1984;40;"714,330.52";"2020-08-03";"2,080";109.98;"767,039.79";2024;"15,340.80";"Kevin Allen";"FALSE";"TX-HA-30032"
"P-100008";10008;"2746 Main St, Apt 22D, Cleveland, OH 88504";"2746 Main St";"Apt 22D";"Cleveland";"OH";88504;"Cuyahoga";29.590136;-155.305523;"Townhouse";7;3.0;"2,561";"3,510";1950;74;"804,847.49";"2025-05-26";"323";314.27;"664,559.38";2023;"11,824.03";"Ronald Wright";"FALSE";"OH-CU-26828"
"P-100009";10009;"2805 Adams St, Apt 19E, Indianapolis, IN 79163";"2805 Adams St";"Apt 19E";"Indianapolis";"IN";79163;"Marion";44.119476;-120.186999;"Condo";5;2.5;"6,440";"11,547";1971;53;"896,216.50";"2018-12-30";"2,662";139.16;"817,372.88";2024;"10,967.37";"Sarah Anderson";"TRUE";"IN-MA-12757"
"P-100010";10010;"9741 Madison Ave, Apt 26D, Tucson, AZ 10942";"9741 Madison Ave";"Apt 26D";"Tucson";"AZ";10942;"Pima";22.881317;-102.094043;"Condo";1;1.0;"3,306";"4,466";1985;39;"305,643.61";"2018-10-12";"2,741";92.45;"289,024.04";2024;"2,771.09";"Kenneth Torres";"TRUE";"AZ-PI-71993"
